Team,Issue Key,Issue Type,Status,Title,URL,Assignee,DoR Compliance,Feedback
PE-WAW-Abyss,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Radium,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Europium,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Copernicium,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Mouflons,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Wolves,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Polonium LF,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Polonium UF,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Bigos,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Capybaras,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
ML Serving,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
ML Platform,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
EP Core,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Zurek,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
Igni,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
SRE,N/A,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in Progress or Code Review status
